"","gender","SeniorCitizen","Partner","Dependents","tenure","PhoneService","MultipleLines","InternetService","OnlineSecurity","OnlineBackup","DeviceProtection","TechSupport","StreamingTV","StreamingMovies","Contract","PaperlessBilling","PaymentMethod","MonthlyCharges","TotalCharges"
"1","Male",1,"No","No",15,"Yes","No","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Electronic check",74.4,1074.3
"2","Female",0,"Yes","No",20,"Yes","Yes","Fiber optic","Yes","No","No","No","No","No","Month-to-month","No","Electronic check",82.4,1592.35
"3","Female",0,"No","No",10,"No","No phone service","DSL","No","Yes","No","Yes","No","No","Month-to-month","No","Electronic check",36.25,374
"4","Female",1,"No","No",1,"Yes","No","Fiber optic","No","No","No","No","Yes","No","Month-to-month","No","Electronic check",78.45,78.45
"5","Female",1,"Yes","No",66,"Yes","Yes","Fiber optic","No","Yes","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",100.8,6690.75
"6","Female",1,"No","No",64,"Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes","Month-to-month","No","Credit card (automatic)",74.65,4869.35
"7","Female",1,"Yes","No",35,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",102.05,3452.55
"8","Female",0,"Yes","No",60,"Yes","No","Fiber optic","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Electronic check",97.2,5611.75
"9","Male",0,"No","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Mailed check",19.1,53.05
"10","Female",0,"Yes","No",72,"Yes","Yes","DSL","Yes","Yes","Yes","No","Yes","Yes","Two year","Yes","Credit card (automatic)",82.65,5919.35
"11","Male",0,"No","No",1,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","No","Electronic check",74,74
"12","Male",0,"Yes","Yes",66,"Yes","No","DSL","Yes","Yes","Yes","Yes","No","No","Two year","No","Mailed check",65.85,4097.05
"13","Female",1,"Yes","No",24,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Electronic check",93.55,2264.05
"14","Male",0,"Yes","Yes",17,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","Yes","Mailed check",25.15,412.6
"15","Female",1,"No","Yes",30,"Yes","Yes","Fiber optic","No","No","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",101.3,2974.5
"16","Male",0,"Yes","Yes",34,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","No","Credit card (automatic)",19.6,678.8
"17","Male",0,"No","No",21,"Yes","No","DSL","No","No","Yes","No","No","Yes","Month-to-month","No","Mailed check",61.65,1393.6
"18","Male",1,"Yes","No",44,"Yes","Yes","Fiber optic","No","No","Yes","No","Yes","No","Month-to-month","Yes","Electronic check",89.2,4040.2
"19","Female",0,"No","No",7,"Yes","Yes","Fiber optic","No","No","No","No","No","No","Month-to-month","Yes","Electronic check",73.85,511.25
"20","Female",0,"No","No",37,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","No","No","Month-to-month","No","Bank transfer (automatic)",91.2,3382.3
"21","Female",0,"Yes","Yes",21,"Yes","No","DSL","No","Yes","No","No","Yes","No","One year","Yes","Credit card (automatic)",58.85,1215.45
"22","Female",0,"No","No",38,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",66.15,2522.4
"23","Male",0,"No","No",3,"Yes","No","DSL","Yes","No","No","No","No","No","Month-to-month","Yes","Mailed check",50.15,160.85
"24","Male",0,"Yes","Yes",45,"Yes","Yes","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",109.75,4900.65
"25","Male",1,"Yes","No",19,"No","No phone service","DSL","No","Yes","Yes","No","No","No","Month-to-month","Yes","Credit card (automatic)",34.3,577.15
"26","Female",0,"Yes","Yes",54,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",104.1,5645.8
"27","Female",0,"No","No",1,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","No","Electronic check",18.85,18.85
"28","Female",1,"Yes","No",2,"Yes","No","DSL","No","Yes","No","No","No","No","Month-to-month","No","Credit card (automatic)",50.15,115.1
"29","Female",0,"No","No",11,"No","No phone service","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Mailed check",35.8,363.15
"30","Female",0,"No","No",5,"Yes","No","Fiber optic","No","No","No","Yes","No","No","Month-to-month","Yes","Mailed check",75.65,399.45
"31","Male",0,"No","No",22,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",25.25,566.5
"32","Female",0,"Yes","No",72,"Yes","Yes","Fiber optic","Yes","Yes","Yes","Yes","Yes","Yes","Two year","Yes","Bank transfer (automatic)",115.5,8312.75
"33","Male",0,"Yes","Yes",67,"Yes","Yes","Fiber optic","No","Yes","Yes","No","Yes","Yes","One year","Yes","Electronic check",105.4,6989.45
"34","Female",0,"Yes","Yes",60,"Yes","Yes","Fiber optic","Yes","Yes","No","No","Yes","No","One year","No","Bank transfer (automatic)",94.15,5811.8
"35","Female",0,"No","No",8,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Mailed check",44.45,369.3
"36","Female",0,"Yes","No",72,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",25,1849.2
"37","Male",0,"No","No",11,"No","No phone service","DSL","No","Yes","No","Yes","No","No","Month-to-month","Yes","Electronic check",35.65,425.1
"38","Female",0,"Yes","Yes",15,"Yes","No","DSL","No","Yes","Yes","Yes","Yes","Yes","Month-to-month","No","Bank transfer (automatic)",76.5,1155.6
"39","Female",0,"Yes","Yes",13,"Yes","No","DSL","Yes","No","No","Yes","No","No","One year","No","Bank transfer (automatic)",54.15,701.05
"40","Male",0,"Yes","No",68,"Yes","Yes","Fiber optic","Yes","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Electronic check",107.7,7320.9
"41","Female",0,"No","No",10,"Yes","No","DSL","No","No","No","Yes","No","Yes","Month-to-month","Yes","Mailed check",60.95,629.55
"42","Male",0,"Yes","Yes",70,"Yes","No","Fiber optic","No","Yes","Yes","Yes","Yes","Yes","One year","Yes","Electronic check",106.15,7475.1
"43","Male",0,"Yes","Yes",24,"Yes","Yes","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",24.2,609.05
"44","Male",0,"Yes","Yes",21,"Yes","Yes","DSL","Yes","No","No","No","Yes","Yes","One year","Yes","Bank transfer (automatic)",75.9,1549.75
"45","Female",0,"No","No",56,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Bank transfer (automatic)",19.7,1051.9
"46","Female",1,"No","No",6,"Yes","No","Fiber optic","Yes","No","No","No","No","No","Month-to-month","Yes","Electronic check",74.1,450.9
"47","Male",0,"Yes","Yes",9,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.6,197.4
"48","Male",0,"Yes","No",66,"Yes","Yes","DSL","Yes","Yes","Yes","No","No","No","Two year","Yes","Credit card (automatic)",66.1,4428.45
"49","Male",0,"Yes","Yes",68,"Yes","Yes","DSL","No","Yes","Yes","Yes","No","Yes","One year","Yes","Bank transfer (automatic)",75.8,5293.95
"50","Male",0,"Yes","No",3,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Month-to-month","Yes","Credit card (automatic)",20.55,51.15
"51","Female",0,"No","No",1,"Yes","Yes","Fiber optic","No","Yes","No","No","No","No","Month-to-month","Yes","Mailed check",79.15,79.15
"52","Male",0,"Yes","Yes",15,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Mailed check",19.35,278.85
"53","Female",0,"Yes","No",24,"Yes","No","Fiber optic","No","Yes","Yes","No","Yes","Yes","Month-to-month","Yes","Credit card (automatic)",99.3,2431.35
"54","Female",0,"No","No",1,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Bank transfer (automatic)",49.95,49.95
"55","Male",1,"No","No",57,"Yes","Yes","Fiber optic","No","Yes","No","Yes","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",104.9,5913.95
"56","Male",1,"No","Yes",56,"Yes","No","Fiber optic","Yes","No","No","No","Yes","Yes","One year","No","Credit card (automatic)",94.8,5264.3
"57","Female",0,"No","No",68,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",20.5,1424.9
"58","Female",0,"No","No",3,"Yes","Yes","DSL","No","No","No","No","Yes","No","Month-to-month","Yes","Electronic check",60.25,170.5
"59","Female",1,"No","No",21,"Yes","Yes","Fiber optic","No","No","No","No","Yes","Yes","Month-to-month","Yes","Bank transfer (automatic)",95.4,2025.1
"60","Female",0,"No","No",1,"Yes","No","DSL","No","No","No","No","No","No","Month-to-month","No","Electronic check",45.15,45.15
"61","Female",0,"No","No",44,"Yes","Yes","DSL","No","No","No","No","No","No","Month-to-month","Yes","Mailed check",50.15,2139.1
"62","Female",0,"Yes","No",59,"Yes","Yes","Fiber optic","Yes","Yes","Yes","No","Yes","Yes","One year","Yes","Credit card (automatic)",109.15,6557.75
"63","Male",0,"No","No",46,"No","No phone service","DSL","No","No","Yes","Yes","No","No","One year","No","Credit card (automatic)",33.7,1537.85
"64","Male",0,"Yes","Yes",4,"Yes","No","DSL","No","No","No","Yes","No","Yes","Month-to-month","No","Credit card (automatic)",61.45,229.55
"65","Male",0,"No","No",70,"Yes","Yes","Fiber optic","Yes","No","No","Yes","Yes","Yes","Two year","Yes","Credit card (automatic)",104,7250.15
"66","Female",0,"Yes","Yes",69,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","One year","Yes","Credit card (automatic)",20.35,1442.65
"67","Female",0,"Yes","No",71,"Yes","No","No","No internet service","No internet service","No internet service","No internet service","No internet service","No internet service","Two year","No","Credit card (automatic)",19.85,1379.6
"68","Female",0,"No","No",12,"Yes","No","Fiber optic","No","No","Yes","No","Yes","Yes","Month-to-month","Yes","Electronic check",96,1062.1
